real,imag,status
58.753,-68.172,OK
61.165,-67.577,OK
58.887,-60.621,OK
70.496,-71.692,OK
39.165,-54.48,OK
49.938,-70.456,OK
43.336,-60.66,OK
52.028,-75.525,OK
55.069,-71.629,OK
43.162,-62.52,OK
43.162,-62.52,OK
56.743,-58.475,OK
47.219,-61.278,OK
44.149,-63.233,OK
46.546,-68.204,OK
45.461,-67.433,OK
45.329,-62.12,OK
65.144,-86.932,OK
41.323,-59.747,OK
30.687,-43.848,OK
36.537,-53.257,OK
29.611,-47.532,OK
44.056,-60.812,OK
26.086,-45.054,OK
37.481,-54.283,OK
33.577,-51.731,OK
29.439,-45.582,OK
34.562,-51.422,OK
31.757,-47.307,OK
30.245,-49.109,OK
33.106,-51.33,OK
32.749,-50.468,OK
31.59,-54.319,OK
15.073,-78.444,OK
31.764,-51.993,OK
29.264,-42.593,OK
53.733,-70.316,OK
40.264,-51.411,OK
38.157,-63.198,OK
43.217,-58.118,OK
45.353,-80.04,OK
36.559,-71.718,OK
81.813,-69.747,OK
71.367,-71.737,OK
76.687,-72.2,OK
61.445,-67.731,OK
275.645,23.849,KO
174.879,109.494,KO
230.432,113.73,KO
251.951,8.347,KO
223.697,113.128,KO
221.531,213.29,KO
253.792,25.431,KO
220.914,20.909,KO
349.14,36.696,KO
284.313,-24.877,KO
232.695,44.991,KO
238.454,3.126,KO
195.272,105.259,KO
252.108,153.699,KO
300.75,76.9,KO
244.459,98.209,KO
251.354,54.241,KO
289.748,252.507,KO
274.641,162.397,KO
232.367,56.629,KO
709.874,-196.82,KO
230.375,54.315,KO
246.847,-112.595,KO
260.717,-12.439,KO
246.051,-42.679,KO
309.072,187.174,KO
254.556,35.23,KO
703.984,305.25,KO
54.023,-3.438,KO
91.702,-15.779,KO
204.683,34.62,KO
4.654,-11.756,KO
173.924,41.402,KO
47.92,-34.908,KO
91.702,-15.779,KO
204.683,34.62,KO
428.202,182.449,KO
299.005,34.519,KO
96.467,103.835,KO
227.435,55.957,KO
298.946,108.076,KO
279.095,-36.892,KO
433.12,-6.819,KO
312.785,92.691,KO
231.395,-190.854,KO
187.072,51.836,KO
195.415,7.85,KO
311.862,68.841,KO
214.052,175.527,KO
91.369,-134.388,NB
20.148,-36.766,NB
62.159,-2.319,NB
49.918,-0.047,NB
17.575,-33.843,NB
49.934,1.261,NB
307.866,-232.718,NB
4.721,-11.71,NB
28.411,-31.397,NB
-33,97.287,NB
45.653,13.372,NB
50,0,NB
20.62,-35.372,NB
574.91,-208.712,NB
41.945,-9.549,NB
4.721,-11.71,NB
35.062,-21.991,NB
190.203,185.721,NB
31.62,-25.903,NB
17.442,-34.589,NB
29.509,-21.983,NB
